[P_CODE_MAT]	[P_LENGTH]	[P_WIDTH]	[P_MINQ]	[P_GRAIN]	[P_IDESC]	[P_EDGE_MAT_UP]	[P_EGDE_MAT_LO]	[P_EDGE_MAT_SX]	[P_EDGE_MAT_DX]	[P_IIDESC]	[P_DESC1]
Material	Length	Width	Min Q.	GrainI	Description	Upper strip mat.	Lower strip mat.	Left strip mat.	Right strip mat.	II Description	Description 1
18MM 210*280	828	550	1	3-Material	ACDD6-29-buzdolap-Yatay Bolme 2	1				13129541	
18MM 210*280	722	580	1	3-Material	ACDD6-30-3.CKM-Sol Yan	1	1		1	13130548	
18MM 210*280	722	580	1	3-Material	ACDD6-30-3.CKM-Sag Yan	1	1		1	13130549	
18MM 210*280	610	580	1	3-Material	ACDD6-30-3.CKM-Alt Tabla	1	1	1	1	13130551	
18MM 210*280	574	100	1	3-Material	ACDD6-30-3.CKM-Yatay Bolme 1	1	1				
18MM 210*280	100	574	1	3-Material	ACDD6-30-3.CKM-Dikey Kayit 1			1	1		
18MM 210*280	490	200	1	3-Material	ACDD6-30-3.CKM-Cekmece Sol 1	1	1			13130562	
18MM 210*280	490	200	1	3-Material	ACDD6-30-3.CKM-Cekmece Sag 1	1	1			13130563	
18MM 210*280	528	185	1	3-Material	ACDD6-30-3.CKM-Cekmece On 1	1	1			13130565	
18MM 210*280	528	185	1	3-Material	ACDD6-30-3.CKM-Cekmece Arka 1	1	1			13130567	
18MM 210*280	490	110	1	3-Material	ACDD6-30-3.CKM-Cekmece Sol 2	1	1			13130574	
18MM 210*280	490	110	1	3-Material	ACDD6-30-3.CKM-Cekmece Sag 2	1	1			13130575	
18MM 210*280	528	95	1	3-Material	ACDD6-30-3.CKM-Cekmece On 2	1	1			13130577	
18MM 210*280	528	95	1	3-Material	ACDD6-30-3.CKM-Cekmece Arka 2	1	1			13130579	
18MM 210*280	490	110	1	3-Material	ACDD6-30-3.CKM-Cekmece Sol 3	1	1			13130586	
18MM 210*280	490	110	1	3-Material	ACDD6-30-3.CKM-Cekmece Sag 3	1	1			13130587	
18MM 210*280	528	95	1	3-Material	ACDD6-30-3.CKM-Cekmece On 3	1	1			13130589	
18MM 210*280	528	95	1	3-Material	ACDD6-30-3.CKM-Cekmece Arka 3	1	1			13130591	
18MM 210*280	722	570	1	3-Material	ACDD6-31-2KPK-Sol Yan	1	1		1	13131596	
18MM 210*280	722	570	1	3-Material	ACDD6-31-2KPK-Sag Yan	1	1		1	13131597	
18MM 210*280	920	570	1	3-Material	ACDD6-31-2KPK-Alt Tabla	1	1	1	1	13131599	
